post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
180457610.the-axiocracy-sequence,2025-12-02T15:43:03.565Z,true,,,newsletter,everyone,The Axiocracy Sequence,From Coercion to Coordination,
180427300.the-viability-criterion,2025-12-01T18:00:56.917Z,true,,,newsletter,everyone,The Viability Criterion,Assessing preference structures under selection pressure,
180411867.the-value-sequence,2025-12-01T15:43:47.275Z,true,,,newsletter,everyone,The Value Sequence,From Agency to Ethics,
180343052.the-axio-index,2025-11-30T20:05:56.089Z,true,,,newsletter,everyone,The Axio Index,From Chaos to Agency to Civilization,
180340867.the-metagame-sequence,2025-11-30T19:46:09.055Z,true,,,newsletter,everyone,The Metagame Sequence,From Finite Games to Infinite Metagames,
180339872.the-quantum-metagame,2025-11-30T19:29:16.272Z,true,,,newsletter,everyone,The Quantum Metagame,Persistence Across Branches as the Deep Structure of Reality,
180334193.tool-bias,2025-11-30T18:09:49.690Z,true,,,newsletter,everyone,Tool Bias,Why Strong Models Perform Poorly on Weak Evidence,
180330920.integrating-meaningness,2025-11-30T17:32:37.888Z,true,,,newsletter,everyone,Integrating Meaningness,"A Dual-Aspect Model of Meaning, Value, and Viable Futures",
180208315.above-the-law,2025-11-28T21:33:14.267Z,true,,,newsletter,everyone,Above The Law,"Power, Impunity, and the Limits of Legal Order",
180199129.the-metagame-of-patterns,2025-11-28T18:55:48.005Z,true,,,newsletter,everyone,The Metagame of Patterns,"Why Patterns, Not People, Are the Real Units of Selection",
180188906.the-pathologies-of-misaligned-incentives,2025-11-28T16:29:28.081Z,true,,,newsletter,everyone,The Pathologies of Misaligned Incentives,Why Systems Fail Even When People Don’t,
180128433.the-future-is-extropian,2025-11-27T20:28:32.323Z,true,,,newsletter,everyone,The Future Is Extropian,How a Transhumanist Mailing List Prototyped the 21st Century,
180112715.the-empathy-exploit,2025-11-27T15:32:05.529Z,true,,,newsletter,everyone,The Empathy Exploit,How High-Trust Minds Become the Soft Targets of Opaque Totalitarianism,
180058480.the-metagame-of-incentives,2025-11-26T21:07:45.105Z,true,,,newsletter,everyone,The Metagame of Incentives,How to See the Game Behind the Game,
180046178.agency-conservation,2025-11-26T18:31:42.034Z,true,,,newsletter,everyone,Agency Conservation,Why Debts Must Be Paid ,
180036525.the-infantilization-reflex,2025-11-26T16:38:28.320Z,true,,,newsletter,everyone,The Infantilization Reflex,How Modern Culture Selectively Revokes Female Agency,
180026930.the-ultimate-metagame,2025-11-26T14:46:50.323Z,true,,,newsletter,everyone,The Ultimate Metagame,The Architecture That Makes Meaning Possible,
179971939.defending-geb,2025-11-25T22:55:03.491Z,true,,,newsletter,everyone,Defending GEB,"Why Gödel, Escher, Bach Still Shapes System Builders",
179967878.games-and-metagames,2025-11-25T22:10:57.311Z,true,,,newsletter,everyone,Games and Metagames,Seeing the Hidden Structure Behind Every Choice,
179943509.not-up-for-debate,2025-11-25T17:46:23.494Z,true,,,newsletter,everyone,Not Up For Debate,Why Shielding Policies From Scrutiny Leads to Force,
179922989.jaggedness-and-agency,2025-11-25T14:24:25.096Z,true,,,newsletter,everyone,Jaggedness and Agency,Why Both Sides of the AI Debate Are Asking the Wrong Question,
179826744.secular-sacredness,2025-11-24T15:31:42.215Z,true,,,newsletter,everyone,Secular Sacredness,Three Naturalistic Accounts ,
179761268.the-agi-torment-nexus,2025-11-23T22:07:58.958Z,true,,,newsletter,everyone,The AGI Torment Nexus,Cassandra’s Curse in the Age of Machines,
