volume,chapter,title,central_thesis,necessary_premises,dependencies,novel_contribution,strongest_objection_or_review_question,structural_function,provisional_disposition,source_count,status
00-front,01-preface,Preface,"Axio grew from one question about the conditions of agency into nine dependent inquiries, and the book is the considered synthesis of that public development.",Prior linked arguments plus chapter steps: see dependency chain,book/00-front/03-glossary.md,Canonical book treatment of Preface: How this book came to be.,Does the origin story accurately frame the final manuscript without making its nine-volume shape appear more inevitable than it was?,Volume orientation and foundation,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,0,review
00-front,02-introduction,Introduction,The nine volumes form a dependency-ordered argument from the physics of agency to chosen meaning while remaining navigable as independent web volumes.,Prior linked arguments plus chapter steps: The arc; How to read it; A book in progress,book/00-front/03-glossary.md,Canonical book treatment of Introduction: How to read this book.,Does the reading map describe the dependencies and independent entry points the edited book actually preserves?,Framework development or bridge,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,0,review
00-front,03-glossary,Glossary,"The glossary gives readers concise, calibrated definitions for the book's terms of art and routes each term back to its canonical chapter.",Prior linked arguments plus chapter steps: A; B; C; D,book/01-physics-of-agency/02-agency-against-drift.md; book/01-physics-of-agency/05-minimal-and-maximal-agents.md; book/03-minds-and-machines/23-the-agency-criterion.md; book/07-liberty-and-governance/02-upgrading-liberty.md; book/07-liberty-and-governance/05-the-grey-zone.md; book/05-value-and-ethics/02-agent-binding.md; book/08-culture-and-memetics/27-the-taboo-test.md; book/04-axionic-agency/12-governance-without-gods.md; book/03-minds-and-machines/07-consciousness-explained.md; book/03-minds-and-machines/11-the-sentience-ladder.md; book/04-axionic-agency/11-sentience-without-sovereignty.md; book/08-culture-and-memetics/04-exemplars-and-the-axionic-criterion.md; book/07-liberty-and-governance/35-axiocracy.md; book/02-conditionalism/08-what-beliefs-are.md; book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/06-markets-and-money/02-the-coat-and-the-ticket.md; book/08-culture-and-memetics/17-anatomy-of-capture.md; book/08-culture-and-memetics/21-the-forbidden-pattern.md; book/01-physics-of-agency/10-causality-and-counterfactuals.md; book/01-physics-of-agency/20-chaos-as-foundation.md; book/05-value-and-ethics/09-what-counts-as-coercion.md; book/07-liberty-and-governance/03-the-coercion-continuum.md; book/01-physics-of-agency/24-the-shape-of-coherence.md; book/02-conditionalism/03-the-three-levels-of-truth.md; book/02-conditionalism/18-sacred-coherence.md; book/01-physics-of-agency/21-coherence-filters.md; book/05-value-and-ethics/06-phosphorism.md; book/09-meaning/10-the-credo.md; book/05-value-and-ethics/26-sapient-agency-realism.md; book/02-conditionalism/07-conditional-realism.md; book/02-conditionalism/02-all-truth-is-conditional.md; book/02-conditionalism/04-when-statements-fail.md; book/05-value-and-ethics/10-consent-and-property.md; book/03-minds-and-machines/10-why-zombies-dont-evolve.md; book/01-physics-of-agency/22-constructors.md; book/06-markets-and-money/06-capitalism-on-trial.md; book/06-markets-and-money/11-monopoly-hypocrisy.md; book/06-markets-and-money/13-the-fork-and-the-merge.md; book/02-conditionalism/11-measure-and-credence.md; book/08-culture-and-memetics/03-patterns-as-players.md; book/08-culture-and-memetics/06-the-geometry-of-culture.md; book/08-culture-and-memetics/02-schemas-and-groups.md; book/08-culture-and-memetics/01-the-story-telling-ape.md; book/07-liberty-and-governance/09-where-speech-ends.md; book/03-minds-and-machines/24-the-dialectic-catalyst.md; book/03-minds-and-machines/26-catalysts-in-the-wild.md; book/05-value-and-ethics/23-the-coexistence-protocol.md; book/08-culture-and-memetics/05-the-egregoric-singularity.md; book/05-value-and-ethics/22-the-ethics-of-viability.md; book/09-meaning/14-integrating-meaningness.md; book/02-conditionalism/10-against-faith.md; book/05-value-and-ethics/12-the-boundaries-of-force.md; book/03-minds-and-machines/02-what-is-a-model.md; book/03-minds-and-machines/05-the-origin-of-meaning.md; book/06-markets-and-money/04-the-price-illusion.md; book/06-markets-and-money/08-the-myth-of-underprovision.md; book/05-value-and-ethics/11-what-counts-as-harm.md; book/05-value-and-ethics/20-risk-is-harm.md; book/05-value-and-ethics/25-innocence-and-moral-debt.md; book/07-liberty-and-governance/29-the-archist-axiom.md; book/07-liberty-and-governance/31-the-hardest-case-defense.md; book/03-minds-and-machines/15-intelligence-is-a-game-we-play.md; book/02-conditionalism/09-what-knowledge-is.md; book/01-physics-of-agency/03-the-kybit.md; book/09-meaning/18-the-great-unfolding.md; book/06-markets-and-money/01-the-discipline-of-value.md; book/05-value-and-ethics/18-the-ultimate-metagame.md; book/06-markets-and-money/15-the-metagame-of-incentives.md; book/03-minds-and-machines/04-minds-and-agents.md; book/01-physics-of-agency/28-why-there-is-something.md; book/02-conditionalism/06-maps-models-understanding.md; book/06-markets-and-money/03-what-is-money.md; book/07-liberty-and-governance/06-rights-are-forged.md; book/03-minds-and-machines/12-what-is-suffering.md; book/03-minds-and-machines/14-the-ai-welfare-trap.md; book/05-value-and-ethics/13-sapientism.md; book/07-liberty-and-governance/32-exit-to-protocol.md; book/09-meaning/19-letter-to-our-machine-descendants.md; book/01-physics-of-agency/12-the-interpretation-wars.md; book/02-conditionalism/17-rationality-without-foundations.md; book/02-conditionalism/19-the-discipline-of-updating.md; book/07-liberty-and-governance/30-anarchy-is-not-chaos.md; book/07-liberty-and-governance/33-the-limits-of-leviathan.md; book/04-axionic-agency/02-what-can-be-aligned.md; book/04-axionic-agency/05-reflective-stability.md; book/07-liberty-and-governance/15-restitution-not-retribution.md; book/09-meaning/05-the-boundary-of-revelation.md; book/07-liberty-and-governance/07-needs-conflicts-and-hard-cases.md; book/09-meaning/02-the-secular-sacred.md; book/09-meaning/06-sagency.md; book/04-axionic-agency/06-structural-alignment.md; book/04-axionic-agency/07-what-the-kernel-binds.md; book/03-minds-and-machines/13-the-sentience-metric.md; book/04-axionic-agency/04-the-sovereign-kernel.md; book/09-meaning/01-spirituality-without-spirits.md; book/05-value-and-ethics/01-the-myth-of-objective-value.md; book/09-meaning/11-ultimate-beauty.md; book/01-physics-of-agency/04-the-three-laws-of-agency.md; book/05-value-and-ethics/04-value-as-sacrifice.md; book/04-axionic-agency/08-verifiable-agency.md; book/06-markets-and-money/09-wealth-is-not-a-pile.md,Canonical book treatment of Glossary: Terms used across Axio.,"Does every entry match the terminology authority, expose proposal or commitment status where needed, and link to the chapter that governs the full definition?",Volume conclusion or envoi,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,0,review
01-physics-of-agency,01-a-genealogy-of-agency,A Genealogy of Agency,"A Genealogy of Agency develops the central proposition framed by its subtitle, “From Popper to Everett to Deutsch — and past them.”",Prior linked arguments plus chapter steps: Knowledge Without Certainty; Reality Without Collapse; Explanations Without Limits; Agency Without Coercion,book/02-conditionalism/02-all-truth-is-conditional.md; book/02-conditionalism/17-rationality-without-foundations.md; book/02-conditionalism/01-what-is-philosophy-for.md; book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/09-measure-vantage-branchcone.md; book/01-physics-of-agency/22-constructors.md; book/05-value-and-ethics/06-phosphorism.md; book/01-physics-of-agency/02-agency-against-drift.md; book/01-physics-of-agency/14-everetts-demon.md; book/01-physics-of-agency/19-infinite-randomness.md; book/01-physics-of-agency/28-why-there-is-something.md,Canonical book treatment of A Genealogy of Agency: From Popper to Everett to Deutsch — and past them.,"Are the historical examples representative, accurately sourced, and sufficient for the general causal conclusion?",Volume orientation and foundation,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
01-physics-of-agency,02-agency-against-drift,Agency Against Drift,"Agency is physically embodied, purposive navigation against default drift, paid for through thermodynamic work.",Prior linked arguments plus chapter steps: What Agency Is; The Price of Steering; The Entropy Misconception; The Stakes,book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/04-the-three-laws-of-agency.md; book/01-physics-of-agency/03-the-kybit.md,Canonical book treatment of Agency Against Drift: The thermodynamic basis of intention.,"Does the claim generalize beyond selected systems and examples without conflating behavior, cognition, experience, and agency?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
01-physics-of-agency,03-the-kybit,The Kybit,"Intentional control can be quantified by a proposed information-theoretic unit, the kybit, defined from the divergence between baseline and steered outcome distributions.",Prior linked arguments plus chapter steps: Control as Distance Between Futures; One Kybit: The Forced Coin; Fractions of a Kybit: The Biased Die; From Information to Work,book/01-physics-of-agency/02-agency-against-drift.md,Canonical book treatment of The Kybit: A unit of control.,"Does KL divergence quantify physically attributable intentional control, and is the claimed Landauer price derived rather than analogized?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,2,review
01-physics-of-agency,04-the-three-laws-of-agency,The Three Laws of Agency,"Every agent is constrained by the proposed laws that control costs work, control capacity decays, and perfect control is impossible.",Prior linked arguments plus chapter steps: The First Law: Control Work; The Second Law: Agency Decay; The Third Law: Agency Limits; The Thermodynamics Analogy,book/01-physics-of-agency/02-agency-against-drift.md; book/01-physics-of-agency/03-the-kybit.md; book/01-physics-of-agency/13-agency-in-the-emergent-multiverse.md; book/05-value-and-ethics/21-measure-responsibility.md,"Canonical book treatment of The Three Laws of Agency: Control work, agency decay, agency limits.","Which statements follow from established thermodynamics, and which are proposed Axionic laws requiring independent support?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,4,review
01-physics-of-agency,05-minimal-and-maximal-agents,Minimal and Maximal Agents,"Minimal and Maximal Agents develops the central proposition framed by its subtitle, “From chemotaxis to the AIXI demon.”",Prior linked arguments plus chapter steps: The Three Criteria; The Minimum Viable Agent; Matching Pennies; The Maximum Theoretical Agent,book/02-conditionalism/09-what-knowledge-is.md; book/01-physics-of-agency/08-the-quantum-branching-universe.md; book/01-physics-of-agency/04-the-three-laws-of-agency.md,Canonical book treatment of Minimal and Maximal Agents: From chemotaxis to the AIXI demon.,"Does the argument establish “From chemotaxis to the AIXI demon” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,3,review
01-physics-of-agency,06-agency-and-active-inference,Agency and Active Inference,"Agency and Active Inference develops the central proposition framed by its subtitle, “The Friston bridge.”","Prior linked arguments plus chapter steps: The First Law: Control Is Work; The Second Law: Agency Decays; The Third Law: No Perfect Control; Two Roads, One Structure",book/01-physics-of-agency/04-the-three-laws-of-agency.md; book/01-physics-of-agency/03-the-kybit.md; book/02-conditionalism/06-maps-models-understanding.md,Canonical book treatment of Agency and Active Inference: The Friston bridge.,"Does the argument establish “The Friston bridge” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
01-physics-of-agency,07-agency-is-not-reward,Agency Is Not Reward,"Agency Is Not Reward develops the central proposition framed by its subtitle, “What the maximum-occupancy view gets right, and what it misses.”","Prior linked arguments plus chapter steps: Reward Is Fuel, Not Essence; Occupancy Is Blind; Admissibility Has Two Layers; The Alignment Stakes",book/01-physics-of-agency/02-agency-against-drift.md; book/05-value-and-ethics/22-the-ethics-of-viability.md; book/01-physics-of-agency/08-the-quantum-branching-universe.md,"Canonical book treatment of Agency Is Not Reward: What the maximum-occupancy view gets right, and what it misses.","Does the argument establish “What the maximum-occupancy view gets right, and what it misses” under explicit assumptions, rather than relying on definition, analogy, or restatement?",Foundational development,Keep provisionally; final keep/merge/move/cut decision belongs to Phase 2.,1,review
